Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu
West Humber-Clairville,1,30.09,34100,17095,17000,1865,1950,2155,2550,2855,2755,2360,2175,2445,2545,2360,1975,1780,1345,1070,895,585,410,8095,4330,5960,5400,32215,475,925,95,160,205,15,1100,850,715,715
Mount Olive-Silverstone-Jamestown,2,4.6,32790,16015,16765,2575,2535,2555,2620,2400,2335,2355,2530,2500,2370,2050,1610,1360,1055,775,605,340,170,5935,2955,7665,5015,31140,275,750,60,350,115,50,820,345,1420,1075
Thistletown-Beaumond Heights,3,3.4,10140,4920,5225,575,580,670,675,675,675,600,640,745,780,690,565,515,420,370,405,290,260,2825,1740,1815,1350,9455,95,705,35,115,105,15,570,130,120,300
Rexdale-Kipling,4,2.5,10485,5035,5455,495,520,570,665,650,645,600,645,745,825,865,710,630,455,415,385,360,300,3245,1905,1590,1315,9855,95,475,30,95,145,30,700,180,70,215
Elms-Old Rexdale,5,2.9,9550,4615,4935,670,720,720,725,655,570,595,600,750,720,710,545,475,350,265,235,145,100,2110,1100,2110,1380,9190,90,510,55,285,80,30,670,195,60,140
Kingsview Village-The Westway,6,5.1,21725,10310,11415,1515,1470,1480,1460,1435,1385,1285,1415,1490,1630,1430,1220,1095,845,780,750,605,440,5725,3405,4470,2925,20845,315,1310,185,475,305,150,970,255,215,1285
Willowridge-Martingrove-Richview,7,5.5,21345,10190,11145,1110,1070,1195,1320,1355,1235,1105,1190,1460,1570,1635,1355,1220,925,910,1025,895,760,7060,4505,3415,2660,20655,390,1745,320,105,370,130,760,250,145,485
Humber Heights-Westmount,8,2.8,10580,4740,5840,495,495,485,615,530,520,560,585,670,800,750,655,595,460,505,555,570,750,4090,2850,1470,1145,9725,70,1090,85,45,315,200,405,40,5,55
Edenbridge-Humber Valley,9,5.5,14945,7075,7865,570,755,855,900,960,915,745,825,1045,1225,1250,1140,955,720,590,565,485,450,4870,2770,2180,1860,14620,225,900,190,40,310,355,745,105,5,15
Princess-Rosethorn,10,5.2,11200,5470,5730,405,610,735,950,800,430,370,460,770,1045,1070,925,710,505,395,370,335,320,3560,1930,1745,1750,10965,325,465,245,70,145,110,110,65,20,35
Eringate-Centennial-West Deane,11,8.6,18805,8985,9835,830,845,1085,1370,1180,940,855,920,1355,1635,1660,1360,1155,885,840,840,615,465,6165,3650,2755,2545,18310,575,640,395,60,480,325,470,220,65,155
Markland Wood,12,2.9,10435,4860,5585,335,475,545,590,575,490,385,455,700,860,910,830,700,590,510,555,495,420,4110,2575,1355,1170,10145,225,210,180,25,145,180,130,80,15,15
Etobicoke West Mall,13,1.7,10925,5100,5830,585,565,630,720,705,650,625,700,795,920,870,700,570,370,370,380,365,435,3170,1900,1775,1415,10170,275,140,205,135,180,200,415,315,150,195
Islington-City Centre West,14,16.4,38070,18035,20055,1935,1590,1640,2015,2315,2935,3085,2835,2745,3020,2815,2535,2055,1525,1310,1235,1200,1260,11135,6555,5165,4315,36420,1060,1125,1315,250,820,790,970,705,205,355
Kingsway South,15,2.6,9175,4330,4845,465,630,635,530,485,305,340,505,745,795,725,695,615,450,355,345,265,305,3010,1695,1720,1015,9065,100,220,65,40,95,60,100,55,5,5
Stonegate-Queensway,16,7.9,24690,11935,12745,1395,1235,1265,1295,1190,1270,1575,1865,1990,2190,2120,1790,1515,940,830,755,635,825,7295,3985,3895,2465,23980,330,755,135,65,555,635,455,260,25,35
