Neighbourhood,Neighbourhood Id,Access to Child Care,Business Licensing,Businesses,Child Care Spaces,Inequality (Gini coeff.),Local Employment,Social Assistance Recipients
West Humber-Clairville,1,0.383582,695,2550,180,0.35938,63385,2702
Mount Olive-Silverstone-Jamestown,2,0.245736,106,273,45,0.42015,3346,6406
Thistletown-Beaumond Heights,3,0.325,116,236,25,0.38201,1350,1082
Rexdale-Kipling,4,0.24,49,155,60,0.388429,1190,1231
Elms-Old Rexdale,5,0.321622,31,70,60,0.38813,831,1759
Kingsview Village-The Westway,6,0.243478,59,160,129,0.38962,3301,4292
Willowridge-Martingrove-Richview,7,0.271111,117,182,131,0.370339,1865,1792
Humber Heights-Westmount,8,0.280769,49,81,60,0.421779,741,921
Edenbridge-Humber Valley,9,0.36,67,162,30,0.37472,1473,852
Princess-Rosethorn,10,0.2,40,77,311,0.265769,1270,205
Eringate-Centennial-West Deane,11,0.155,95,244,142,0.33517,3505,877
Markland Wood,12,0.685714,46,105,105,0.341789,1659,235
Etobicoke West Mall,13,0.302703,35,181,60,0.369599,3541,1080
Islington-City Centre West,14,0.318812,763,2291,189,0.398129,52812,2441
Kingsway South,15,0.1,46,189,100,0.255849,2142,49
Stonegate-Queensway,16,0.253333,329,605,215,0.3842,6029,1368
Mimico,17,0.23662,281,635,147,0.405239,11586,2147
New Toronto,18,0.389189,148,342,90,0.43007,4398,1551
Long Branch,19,0.442105,105,168,69,0.390909,1546,1074
Alderwood,20,0.24,128,312,120,0.353179,5432,494
Humber Summit,21,0.237931,398,1342,60,0.399859,18426,1527
Humbermede,22,0.250909,191,360,55,0.40476,6247,2432
Pelmo Park-Humberlea,23,0.365517,70,157,0,0.36107,2430,689
Black Creek,24,0.347982,93,343,175,0.417239,4199,6026
Glenfield-Jane Heights,25,0.398077,185,631,173,0.416579,8455,6786
Downsview-Roding-CFB,26,0.278022,419,965,163,0.40241,19053,5671
York University Heights,27,0.325316,637,2659,146,0.426959,39667,3955
Rustic,28,0.344762,33,48,26,0.45925,504,2027
Maple Leaf,29,0.413793,61,50,90,0.39897,668,924
Brookhaven-Amesbury,30,0.351678,153,429,54,0.410199,4713,3566
Yorkdale-Glen Park,31,0.258824,365,1522,75,0.42677,26409,1442
Englemount-Lawrence,32,0.25303,145,185,165,0.43457,3343,2509
Clanton Park,33,0.241176,159,344,130,0.41694,5150,674
Bathurst Manor,34,0.32,75,259,90,0.40893,3453,1032
Westminster-Branson,35,0.358491,115,80,45,0.43298,3435,3220
Newtonbrook West,36,0.294737,225,507,76,0.40094,9170,2005
Willowdale West,37,0.490909,132,326,173,0.418289,5466,381
Lansing-Westgate,38,0.194444,158,476,65,0.37457,11338,400
Bedford Park-Nortown,39,0.135294,127,659,60,0.34876,7286,385
St.Andrew-Windfields,40,0.336,103,630,100,0.320039,14376,406
Bridle Path-Sunnybrook-York Mills,41,0.08,30,58,0,0.195639,12648,16
Banbury-Don Mills,42,0.302439,142,735,255,0.36829,24106,888
Victoria Village,43,0.18871,168,398,155,0.421359,7412,2669
Flemingdon Park,44,0.251813,98,220,195,0.38001,4665,4476
Parkwoods-Donalda,45,0.34491,126,199,400,0.38863,2399,3862
Pleasant View,46,0.352381,83,131,90,0.37378,1296,655
Don Valley Village,47,0.371429,127,367,190,0.3905,5315,1860
Hillcrest Village,48,0.33617,111,421,195,0.403649,13577,657
Bayview Woods-Steeles,49,0.378571,52,95,150,0.372729,2056,581
Newtonbrook East,50,0.207407,67,397,15,0.41416,4217,623
Willowdale East,51,0.195604,278,816,194,0.411179,16230,1039
Bayview Village,52,0.38125,109,433,45,0.3504,14323,445
Henry Farm,53,0.324444,116,737,105,0.40213,18312,1348
O'Connor-Parkview,54,0.317895,194,361,75,0.41141,5348,2901
Thorncliffe Park,55,0.092135,130,403,21,0.3824,9643,3354
Leaside-Bennington,56,0.283333,109,345,260,0.31735,2899,136
Broadview North,57,0.329825,94,128,45,0.403039,1427,1347
Old East York,58,0.221053,111,127,85,0.388449,951,521
Danforth-East York,59,0.576923,143,156,111,0.387279,3810,864
Woodbine-Lumsden,60,0.322222,38,57,95,0.375129,493,516
