Neighbourhood,Neighbourhood Id,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients
West Humber-Clairville,1,2463,195,719,317508,58271,2912
Mount Olive-Silverstone-Jamestown,2,271,60,687,251119,3244,6561
Thistletown-Beaumond Heights,3,217,25,718,414216,1311,1276
Rexdale-Kipling,4,144,75,721,392271,1178,1323
Elms-Old Rexdale,5,67,60,692,233832,903,1683
Kingsview Village-The Westway,6,160,129,717,292861,2799,4348
Willowridge-Martingrove-Richview,7,169,165,750,511637,1843,2032
Humber Heights-Westmount,8,82,140,753,491396,896,856
Edenbridge-Humber Valley,9,153,30,761,873268,1334,751
Princess-Rosethorn,10,74,367,791,971668,1226,299
Eringate-Centennial-West Deane,11,229,172,775,423034,3472,775
Markland Wood,12,106,105,783,505350,1494,239
Etobicoke West Mall,13,146,60,738,298426,4340,1091
Islington-City Centre West,14,2263,204,755,491678,45794,2534
Kingsway South,15,195,115,793,941223,2335,74
Stonegate-Queensway,16,595,283,760,690949,5932,1593
Mimico,17,619,195,741,429941,11549,2634
New Toronto,18,368,90,719,460811,5289,1600
Long Branch,19,170,54,724,459088,1143,1024
Alderwood,20,309,120,764,504233,4839,516
Humber Summit,21,1373,53,715,354381,17950,1659
Humbermede,22,374,55,695,314721,5799,2590
Pelmo Park-Humberlea,23,152,0,735,412618,2855,798
Black Creek,24,306,175,661,235143,3856,6408
Glenfield-Jane Heights,25,587,173,678,304262,8323,7263
Downsview-Roding-CFB,26,985,238,692,400486,20150,5618
York University Heights,27,2643,156,698,359372,42885,4720
Rustic,28,48,26,692,493442,550,1924
Maple Leaf,29,47,90,721,540741,737,919
Brookhaven-Amesbury,30,466,54,687,352428,4825,3420
Yorkdale-Glen Park,31,1468,82,729,421045,24685,1502
Englemount-Lawrence,32,175,105,730,577889,3495,2733
Clanton Park,33,357,130,740,605585,5011,734
Bathurst Manor,34,244,105,745,568877,3370,1018
Westminster-Branson,35,83,45,730,372380,3027,2906
Newtonbrook West,36,483,98,737,557468,9091,2124
Willowdale West,37,363,248,766,541247,7110,515
Lansing-Westgate,38,488,75,758,646460,12254,468
Bedford Park-Nortown,39,676,60,776,1191040,8187,484
St.Andrew-Windfields,40,591,124,774,1363202,13023,606
Bridle Path-Sunnybrook-York Mills,41,58,0,788,1849084,11756,37
Banbury-Don Mills,42,834,255,776,613647,25614,1030
Victoria Village,43,431,134,730,365107,7035,2593
Flemingdon Park,44,185,203,721,204104,5088,4348
Parkwoods-Donalda,45,209,441,731,553698,2802,3664
Pleasant View,46,124,90,767,463859,1162,791
Don Valley Village,47,373,229,756,478489,5640,2137
Hillcrest Village,48,424,180,775,484743,11806,694
Bayview Woods-Steeles,49,93,180,777,784397,2207,666
Newtonbrook East,50,400,30,757,626626,4357,685
Willowdale East,51,849,209,759,540911,16026,1189
Bayview Village,52,460,60,768,533089,9377,626
Henry Farm,53,717,105,736,372110,18728,1502
O'Connor-Parkview,54,346,75,725,538203,4677,2984
